FC Target vs Input,FC Target vs Beads,seq_origin,log_FC_Target_vs_Input,log_FC_Target_vs_Beads
0.8672467798,0.9171612586,Bayer1,-0.0618573041,-0.0375542984
0.7724157595,0.9324435344,Bayer1,-0.1121488739,-0.0303774581
1.0106922024,1.1802298246,Bayer1,0.0046189151,0.0719665851
0.7478814334,0.7925732323,Bayer1,-0.1261672483,-0.1009605993
0.8956316603,1.2147060036,Bayer1,-0.0478705627,0.084471178
0.9144938092,1.1040307873,Bayer1,-0.0388192302,0.0429811844
0.7783975503,1.3339409787,Bayer1,-0.1087985395,0.1251366143
0.8044795009,1.2014156488,Bayer1,-0.0944850178,0.0796932845
0.8332483511,0.9357951206,Bayer1,-0.0792255371,-0.0288192236
1.2897273562,1.3374828655,Bayer1,0.1104979117,0.126288227
0.6784062884,0.946736,Bayer1,-0.1685101351,-0.0237711083
0.7299450898,0.9422840729,Bayer1,-0.1367098085,-0.0258181496
0.8725451495,1.0085177977,Bayer1,-0.0592120914,0.0036835668
0.9451441311,0.9224323748,Bayer1,-0.0245019581,-0.0350654629
0.7533384425,1.2938711186,Bayer1,-0.1230098702,0.1118910188
1.0202538805,1.1208984119,Bayer1,0.0087082553,0.0495662538
0.6679189039,0.7856580747,Bayer1,-0.1752762647,-0.1047664216
0.5734717867,0.7873573446,Bayer1,-0.2414879434,-0.103828117
0.8632347664,1.0402100223,Bayer1,-0.063871077,0.0171210338
0.7341598748,1.0182241506,Bayer1,-0.1342093554,0.0078433936
1.52760976,1.6829072837,Bayer1,0.1840124244,0.2260601901
0.692481284,0.875953577,Bayer1,-0.15959196,-0.0575189096
0.7900738878,1.077117069,Bayer1,-0.1023322916,0.0322629082
0.9048038588,0.9737218993,Bayer1,-0.0434455559,-0.0115650625
1.1500785122,0.9071574998,Bayer1,0.0607274893,-0.0423173046
1.0815251192,1.4241564386,Bayer1,0.0340366107,0.1535576976
0.8656440699,0.9060991117,Bayer1,-0.0626606418,-0.0428242954
0.9399518537,0.9113402059,Bayer1,-0.0268943913,-0.0403194694
0.809149853,0.9578974578,Bayer1,-0.0919710404,-0.0186809793
1.2179356122,0.7693291495,Bayer1,0.0856243293,-0.113887812
0.6928543543,0.871808625,Bayer1,-0.1593580493,-0.0595788387
2.7950135739,0.3402653625,Bayer1,0.4463839214,-0.4681822579
0.8016288944,0.9682060352,Bayer1,-0.0960266372,-0.0140322146
1.1012348518,1.2618727888,Bayer1,0.0418799475,0.1010155753
0.836193178,0.7445514217,Bayer1,-0.0776933799,-0.1281053028
0.9431862479,0.8866226965,Bayer1,-0.0254025401,-0.0522611555
0.755098967,1.0679404768,Bayer1,-0.1219961239,0.0285470474
1.6192577323,0.9674762413,Bayer1,0.2093159796,-0.0143596913
1.0496073767,0.9049170701,Bayer1,0.0210268743,-0.0433912193
0.8185744802,0.9198293505,Bayer1,-0.086941799,-0.0362927368
2.7798695105,0.2636767321,Bayer1,0.4440244102,-0.5789281924
1.7188331757,0.7526951485,Bayer1,0.2352337275,-0.1233808832
0.9739047651,1.3910631922,Bayer1,-0.0114835092,0.1433468593
0.6571488407,0.9034778024,Bayer1,-0.1823362539,-0.0440825132
1.2354838247,1.108685916,Bayer1,0.0918370639,0.0448085306
0.9473963814,0.8920918999,Bayer1,-0.0234682784,-0.0495904039
0.7208882981,0.9882723118,Bayer1,-0.1421320241,-0.005123372
1.0648509156,1.2646049871,Bayer1,0.0272888086,0.1019548902
0.7484443862,0.9303375542,Bayer1,-0.1258404647,-0.0313594479
0.93434526,1.0328937928,Bayer1,-0.0294926133,0.0140556675
1.7728167073,1.0768539845,Bayer1,0.2486638359,0.0321568193
0.8767039399,1.2024540528,Bayer1,-0.0571470417,0.0800684904
0.878593886,1.1005646414,Bayer1,-0.0562118232,0.0416155558
0.8313909125,0.9474192133,Bayer1,-0.0801947268,-0.0234578122
0.7717968483,0.8420570726,Bayer1,-0.1124969992,-0.0746584721
0.9821313237,1.3555857267,Bayer1,-0.0078304375,0.1321269874
0.2559560863,0.4426263665,Bayer1,-0.591834539,-0.3539627195
1.8011123287,0.679257638,Bayer1,0.255540799,-0.1679654694
0.8519760929,0.9342906003,Bayer1,-0.0695725917,-0.0295180205
0.9668706979,0.6103349055,antiFlag,-0.0146316014,-0.2144317917
0.7315897159,0.9203515695,Bayer1,-0.1357324081,-0.0360462428
0.5810925802,0.9203862028,Bayer1,-0.2357546699,-0.0360299003
1.0199425322,0.743176826,Bayer1,0.0085757025,-0.1289078411
1.0934401532,1.3056681504,Bayer1,0.038795018,0.1158328103
1.1074779119,1.030000253,Bayer1,0.0443350732,0.0128373314
0.723992641,0.7233487123,Bayer1,-0.1402658482,-0.1406522873
1.0523003678,1.0122010605,Bayer1,0.0221397222,0.005266788
0.8191424665,0.9819041028,Bayer1,-0.0866405585,-0.0079309253
1.3138063138,1.1492771343,Bayer1,0.1185313446,0.0604247662
0.9371018566,0.8869519437,Bayer1,-0.0282132017,-0.0520999102
0.752864256,0.7950819386,Bayer1,-0.1232833215,-0.0995881121
0.9706468072,1.3073571713,Bayer1,-0.0129387697,0.1163942535
1.0810213997,0.8525264103,Bayer1,0.0338342912,-0.0692921582
0.8434809899,1.0419443803,Bayer1,-0.0739247009,0.0178445366
1.2033624489,0.998678884,Bayer1,0.0803964551,-0.0005741327
0.6619037552,0.8514876679,Bayer1,-0.179205155,-0.0698216375
1.1811676104,1.2535849267,Bayer1,0.0723115294,0.0981537615
1.374696475,1.1892994031,Bayer1,0.1382068191,0.0752912009
0.7958342094,1.0530523274,Bayer1,-0.0991773964,0.0224499523
0.7518604808,1.1079606742,Bayer1,-0.1238627419,0.0445243459
0.9617822651,1.2319102946,Bayer1,-0.0169232354,0.0905790845
0.5744459732,0.4753097765,Bayer1,-0.2407508106,-0.3230232527
1.1621972826,1.1239103986,Bayer1,0.0652798556,0.0507316894
2.1530742685,1.1032551263,Bayer1,0.3330590107,0.0426759541
0.9451918789,1.0586504141,Bayer1,-0.0244800185,0.0247525717
1.1993364839,1.0541819962,Bayer1,0.0789410451,0.0229155949
0.8706243394,0.882010058,Bayer1,-0.0601691957,-0.0545264624
0.8417747322,0.9315568643,Bayer1,-0.0748041147,-0.0307906297
1.4352732598,1.4414731076,Bayer1,0.1569345937,0.1588065445
1.1432661489,0.853204768,Bayer1,0.0581473446,-0.0689467262
0.9060189472,1.1074802671,Bayer1,-0.04286272,0.0443359968
0.9095572414,0.9488952179,Bayer1,-0.0411699642,-0.022781742
1.116756868,0.7739258603,Bayer1,0.047958632,-0.1113006414
0.7955174523,5.4357668976,Bayer1,-0.0993502882,0.7352608246
1.0071337869,0.8143732897,Bayer1,0.0030871657,-0.089176479
0.8950799241,0.8715863496,Bayer1,-0.0481381836,-0.0596895801
0.9188799563,0.8353615739,Bayer1,-0.0367412217,-0.0781255059
1.0632369643,1.0247817436,Bayer1,0.0266300668,0.0106313799
0.7940056263,0.9494859742,Bayer1,-0.1001764202,-0.0225114463
0.928316884,0.9587872069,Bayer1,-0.0323037506,-0.0182777694
0.9809740902,1.0089737139,Bayer1,-0.0083424632,0.003879852
0.9445925229,1.1136959976,Bayer1,-0.0247554965,0.0467666589
0.8018490609,0.9120645599,Bayer1,-0.0959073751,-0.0399744193
0.5913953318,0.6841252956,Bayer1,-0.2281221079,-0.1648643512
1.3423076181,2.7095703139,Bayer1,0.127852055,0.4329004255
0.9574693824,1.0312946704,Bayer1,-0.0188751049,0.0133827734
0.7750095794,1.1977984181,Bayer1,-0.1106929294,0.0783837352
0.8534972932,0.9992502446,Bayer1,-0.0687978519,-0.0003257368
1.1274427625,70.668825377,Bayer1,0.052094503,1.8492278727
1,0.016143003,Bayer1,0,-1.7920156718
1.1866996341,0.8758250865,Bayer1,0.0743408085,-0.0575826194
0.8353535917,0.8960081594,Bayer1,-0.0781296558,-0.0476880355
1.1254709105,0.9212118557,Bayer1,0.0513342745,-0.0356404814
0.8256109975,0.988045675,Bayer1,-0.0832245307,-0.0052229785
0.8704169302,0.7961517494,Bayer1,-0.0602726703,-0.0990041463
0.8228165812,0.9111649279,Bayer1,-0.0846969651,-0.0404030052
1.0583041289,1.5458936572,Bayer1,0.0246104905,0.1891796153
1.3671663098,0.9524681452,Bayer1,0.1358213478,-0.0211495402
0.4025473114,0.3971502021,Bayer1,-0.3951830696,-0.4010452121
0.7832805265,0.7545714542,Bayer1,-0.1060826705,-0.1222996284
0.6519896302,0.6669132722,Bayer1,-0.1857593116,-0.1759306396
1.2813619799,1.2548789036,Bayer1,0.1076718336,0.0986018182
1.0679676035,0.8532566126,Bayer1,0.0285580787,-0.0689203373
0.811151194,0.8196252277,Bayer1,-0.0908981882,-0.0863846827
0.8334847078,0.9698111949,Bayer1,-0.0791023639,-0.013312807
1.4751978161,0.8957765622,Bayer1,0.1688502608,-0.0478003049
1.0735167832,0.9474635283,Bayer1,0.0308088385,-0.0234374988
0.8873536619,0.96573257,Bayer1,-0.0519032541,-0.0151431215
1.1364388535,1.105592674,Bayer1,0.0555460733,0.0435951523
0.8692445217,0.7077777811,Bayer1,-0.0608580377,-0.1501030751
0.9150853711,0.7171777738,Bayer1,-0.0385383874,-0.1443731782
0.7891337445,0.9038701282,Bayer1,-0.1028493852,-0.0438939663
1.0133163431,1.1543976305,Bayer1,0.0057450471,0.0623554267
1.0475219686,0.9787948275,Bayer1,0.0201631397,-0.0093083344
0.8372073137,1.1208226857,Bayer1,-0.0771669864,0.0495369126
1.042342829,0.9952783053,Bayer1,0.0180105829,-0.0020554624
0.7623290683,0.6792571535,Bayer1,-0.1178575199,-0.1679657792
0.7592710036,0.9095200169,Bayer1,-0.1196031854,-0.0411877385
0.720183011,0.9855651693,Bayer1,-0.1425571278,-0.0063146533
0.9508980029,1.0937347982,Bayer1,-0.0218660647,0.0389120298
0.8944945515,1.0655702585,Bayer1,-0.0484223004,0.0275820903
0.6092993478,0.8549369368,Bayer1,-0.2151692868,-0.0680659192
0.9893093344,1.423804855,Bayer1,-0.0046678932,0.1534504695
1.2629573269,1.7441924672,Bayer1,0.1013886768,0.2415944065
0.8651054728,0.8561329798,Bayer1,-0.0629309406,-0.0674587728
0.542321782,0.4863288765,Bayer1,-0.2657429521,-0.3130699428
0.7981765497,1.0992275226,Bayer1,-0.0979010358,0.0410875938
1.1405229694,0.8231554689,Bayer1,0.0571040361,-0.0845181321
0.6638707751,0.7684375984,Bayer1,-0.1779164494,-0.114391394
0.698386182,0.8053307624,Bayer1,-0.155904362,-0.0940257112
0.7045352114,1.0329016822,Bayer1,-0.1520972968,0.0140589847
0.7760780541,1.0731208613,Bayer1,-0.1100945974,0.0306486376
0.933827247,1.1340706356,Bayer1,-0.0297334585,0.0546401054
0.5830679962,0.930396751,Bayer1,-0.2342807958,-0.0313318149
0.8033937987,0.7317188843,Bayer1,-0.0950715249,-0.1356557365
0.7988331404,0.8819551499,Bayer1,-0.0975439263,-0.0545534995
0.8873960758,0.7677730053,Bayer1,-0.0518824961,-0.1147671616
0.5887402832,0.4550341527,Bayer1,-0.2300762476,-0.341956006
1.1158948246,1.0390299149,Bayer1,0.0476232634,0.0166280516
0.7678491317,0.9677026139,Bayer1,-0.1147241025,-0.0142580859
0.8202825896,1.0978340054,Bayer1,-0.0860365062,0.0405366789
0.8795521116,0.8838435497,Bayer1,-0.0557384244,-0.0536246032
0.9248528745,1.2068086989,Bayer1,-0.0339273493,0.081638432
0.9699225367,1.0835961729,Bayer1,-0.0132629495,0.0348674625
1.0855724811,1.2216968525,Bayer1,0.0356588256,0.086963455
0.7731040627,0.80306559,Bayer1,-0.1117620445,-0.0952489825
0.8163078856,0.8756717748,Bayer1,-0.0881460082,-0.0576586485
0.8474979312,0.7480470843,Bayer1,-0.0718613533,-0.1260710655
1.0388281535,1.0709133059,Bayer1,0.016543711,0.0297543146
1.118518874,1.1499594253,Bayer1,0.0486433168,0.0606825172
0.6538598133,0.9839710964,Bayer1,-0.1845153539,-0.0070176585
1.3268029226,1.0432959176,Bayer1,0.1228064195,0.018407508
0.7472537931,0.9606897465,Bayer1,-0.1265318718,-0.0174168445
0.8479899498,1.0558760864,Bayer1,-0.0716092949,0.023612954
0.6471076487,0.6916185633,Bayer1,-0.1890234668,-0.1601333586
0.8280773295,0.8107320993,Bayer1,-0.081929105,-0.0911226317
0.8371356774,1.2342104115,Bayer1,-0.0772041488,0.0913892057
0.6856181484,0.9276182748,Bayer1,-0.1639176951,-0.032630704
0.9879930103,0.9586451548,Bayer1,-0.0052461279,-0.0183421184
1.1210877418,1.0349207474,Bayer1,0.0496396039,0.0149070935
0.8400107258,0.7550664868,Bayer1,-0.0757151686,-0.1220148052
0.8415628361,0.956521024,Bayer1,-0.0749134514,-0.0193054799
0.815878032,0.8693259119,Bayer1,-0.0883747604,-0.0608173752
0.7716233718,0.8932185704,Bayer1,-0.1125946264,-0.0490422563
2.2217648766,0.9095603611,Bayer1,0.3466980968,-0.0411684746
0.8280905745,0.9736994055,Bayer1,-0.0819221586,-0.0115750951
0.7728632841,0.8151082964,Bayer1,-0.111897324,-0.0887846864
0.9135655347,1.0099242819,Bayer1,-0.039260293,0.0042888142
0.6641780846,0.6948464335,Bayer1,-0.1777154586,-0.1581111673
0.9715168665,0.9940734655,Bayer1,-0.0125496552,-0.0025815185
0.9197842932,1.1665338459,Bayer1,-0.036314011,0.066897344
0.7092894805,0.8918147266,Bayer1,-0.1491764812,-0.0497253604
0.8648344595,0.8490914483,Bayer1,-0.0630670142,-0.0710455331
1.4306288243,1.2728670576,Bayer1,0.155526971,0.1047830469
0.9795040925,1.1688552052,Bayer1,-0.0089937451,0.0677607152
0.9006636328,1.1679282149,Bayer1,-0.045437373,0.0674161503
0.8720906408,0.9703240791,Bayer1,-0.0594383743,-0.0130831912
2.0106433385,0.4758441057,Bayer1,0.3033350393,-0.3225353059
0.8630722884,1.0306004508,Bayer1,-0.0639528275,0.0130903281
1.253972904,1.0452293764,Bayer1,0.0982881523,0.0192116072
1.1881375801,1.0233615805,Bayer1,0.0748667326,0.0100291085
0.8946683092,1.5847440213,Bayer1,-0.0483379459,0.199959122
0.7527641645,0.9200913327,Bayer1,-0.1233410638,-0.0361690603
0.9581938185,0.7039936174,Bayer1,-0.0185466352,-0.1524312783
1.0806873413,0.8427579667,antiFlag,0.0337000644,-0.0742971333
1.1979141615,1.1619095953,Bayer1,0.0784256991,0.0651723382
1.3969490373,0.9572322573,Bayer1,0.1451805627,-0.0189826747
0.7940842793,1.1396855025,Bayer1,-0.1001334017,0.0567850238
1.0184789782,0.6365664305,Bayer1,0.0079520694,-0.1961562677
0.8193216242,1.0823906525,Bayer1,-0.0865455828,0.034384033
0.9286113947,1.1152293766,Bayer1,-0.0321659915,0.0473642008
0.9862587336,1.1004515421,Bayer1,-0.006009138,0.0415709233
0.7520966303,0.8566810701,Bayer1,-0.1237263572,-0.0671808295
0.6785772925,0.7163511296,Bayer1,-0.1684006774,-0.14487405
1.1382654449,1.2522270808,Bayer1,0.0562435519,0.0976830916
1.1892456993,1.3664012931,Bayer1,0.0752715895,0.1355782643
1.0218289779,0.9902344497,Bayer1,0.0093782146,-0.0042619689
0.8764157588,0.7616684437,Bayer1,-0.057289822,-0.1182340371
1.170975427,1.0211976057,Bayer1,0.0685477815,0.0091097879
0.6654054472,1.1221103303,Bayer1,-0.1769136482,0.0500355605
1.152248622,1.1678512043,Bayer1,0.0615461974,0.0673875129
1.1245726365,1.0669456712,Bayer1,0.0509875119,0.0281423057
0.8955952469,1.0131854223,Bayer1,-0.04788822,0.0056889325
0.6630696695,0.684861597,Bayer1,-0.1784408373,-0.1643971858
1.0612982463,0.9321862207,Bayer1,0.0258374466,-0.030497321
0.7851806607,1.1688534067,Bayer1,-0.1050304058,0.0677600469
0.682704813,0.8253798776,Bayer1,-0.1657670354,-0.0833461232
0.8651321033,1.1301279239,Bayer1,-0.0629175719,0.0531276059
0.6352767603,0.8096178278,Bayer1,-0.1970370318,-0.0917199372
0.9372312479,1.1271267528,Bayer1,-0.0281532402,0.051972758
0.9821462964,0.7941522742,Bayer1,-0.0078238167,-0.1000962161
0.701131149,0.7820751412,Bayer1,-0.1542007382,-0.1067515182
0.8677728689,0.9392704416,Bayer1,-0.0615939323,-0.0272093445
0.8076538536,0.7757806024,Bayer1,-0.0927747304,-0.1102610837
10.1934468651,0.3309575364,Bayer1,1.0083210634,-0.4802277249
1.7361836316,1.3802851715,Bayer1,0.2395956575,0.1399688224
0.8986577316,0.8633488191,Bayer1,-0.0464056849,-0.0638137007
1.1547822123,1.0514210749,Bayer1,0.0625000856,0.0217766778
66.4480170115,1.1652165484,Bayer1,1.822482025,0.0664066438
0.5108126545,0.8487867958,Bayer1,-0.2917383523,-0.0712013852
0.7824623913,0.9240381152,Bayer1,-0.1065365274,-0.0343101144
4.0584838795,0.3327757018,Bayer1,0.6083638253,-0.477848392
0.6684091121,0.9074726719,Bayer1,-0.1749576382,-0.0421664447
0.7560028927,0.7518196541,Bayer1,-0.1214765428,-0.1238863251
0.9968904086,0.9935079737,Bayer1,-0.0013525825,-0.002828643
0.90238306,0.915078649,Bayer1,-0.0446090661,-0.0385415777
1.3109210518,1.0045665212,Bayer1,0.1175765378,0.0019787005
1.3984781505,1.0469224946,Bayer1,0.1456556855,0.0199145313
1.1011962664,1.5413712146,Bayer1,0.0418647302,0.1879072442
0.965950017,0.8993661715,Bayer1,-0.0150453455,-0.0460634519
0.6578368009,1.0384997222,Bayer1,-0.1818818347,0.0164063847
1.3635371225,1.6828655124,Bayer1,0.1346669662,0.2260494104
0.6595115262,0.8738783015,Bayer1,-0.18077761,-0.0585490441
0.9041880656,0.9077981369,Bayer1,-0.0437412295,-0.0420107129
1.1061823883,1.5526249306,Bayer1,0.0438267397,0.1910665554
0.7316234213,0.9403337258,Bayer1,-0.1357124,-0.0267179873
